bug,glob,google_web_search,list_directory,read_file,read_many_files,replace,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other,search_file_content,web_fetch,write_file
Math-49,1,0,0,2,0,2,4,1,1,0,1,1,0,0,0,1,0,0
Math-52,0,0,0,3,0,0,4,1,1,0,2,0,0,0,0,0,0,0
Math-54,2,0,0,4,0,4,12,4,5,0,1,1,0,1,0,1,0,1
Math-55,0,0,0,8,0,6,13,5,6,0,2,0,0,0,0,1,0,0
Math-6,10,0,0,14,0,13,17,7,8,0,1,1,0,0,0,0,0,0
Math-61,0,0,0,6,0,4,8,4,3,0,1,0,0,0,0,0,0,0
Math-62,1,0,0,3,0,1,3,1,1,0,1,0,0,0,0,0,0,0
Math-64,4,0,0,5,0,18,23,10,9,0,1,3,0,0,0,0,0,0
Math-65,1,0,0,3,0,2,4,1,2,0,1,0,0,0,0,1,0,0
Math-66,0,5,0,11,0,10,28,7,10,0,2,9,0,0,0,0,0,3
Math-68,0,0,0,8,0,134,64,31,17,0,1,15,0,0,0,0,0,0
Math-7,0,0,0,11,0,38,28,13,12,0,2,1,0,0,0,1,0,0
Math-71,0,0,0,11,0,156,81,3,77,0,1,0,0,0,0,1,0,0
Math-72,1,0,0,1,1,2,6,2,2,0,1,1,0,0,0,0,0,0
Math-76,1,0,0,5,0,83,77,0,74,0,3,0,0,0,0,0,0,0
Math-77,0,0,0,1,1,2,4,1,2,0,1,0,0,0,0,0,0,0
Math-78,0,0,0,7,0,14,8,1,6,0,1,0,0,0,0,0,0,0
Math-81,0,0,0,21,0,46,86,27,24,0,9,26,0,0,0,2,0,0
Math-83,0,0,0,6,0,1,7,3,0,0,3,1,0,0,0,0,0,0
Math-84,2,0,0,8,0,6,14,6,6,0,1,1,0,0,0,2,0,0
Math-86,2,0,0,2,0,2,5,0,4,0,1,0,0,0,0,0,0,0
Math-90,2,1,0,3,0,11,15,6,7,0,1,1,0,0,0,0,0,0
Math-92,2,0,0,3,0,2,7,2,4,0,1,0,0,0,0,0,0,0
Math-93,2,0,0,3,0,4,6,0,5,0,0,1,0,0,0,0,0,0
Math-98,0,0,0,3,0,2,6,2,2,0,1,1,0,0,0,0,0,0
Math-99,2,0,0,3,0,2,6,2,2,0,1,1,0,0,0,0,0,0
Mockito-10,2,0,0,12,0,41,32,16,14,0,2,0,0,0,0,0,0,4
Mockito-14,0,0,0,3,1,0,4,1,2,0,1,0,0,0,0,1,0,0
Mockito-15,1,0,0,6,0,0,4,1,1,0,2,0,0,0,0,2,0,0
Mockito-16,0,0,0,17,0,161,34,16,11,0,2,5,0,0,0,0,0,0
Mockito-17,0,0,4,9,0,8,14,1,5,0,3,1,4,0,0,0,0,0
Mockito-19,0,0,0,19,0,21,28,1,25,0,1,1,0,0,0,1,0,27
Mockito-2,0,0,0,11,0,9,13,5,0,0,6,2,0,0,0,2,0,0
Mockito-20,1,0,1,15,0,17,14,5,7,0,1,1,0,0,0,6,0,1
Mockito-21,0,0,3,12,0,9,16,5,4,0,2,4,0,1,0,0,0,1
Mockito-23,0,0,0,19,0,12,14,6,6,0,2,0,0,0,0,5,0,0
Mockito-25,3,0,0,21,0,28,12,7,3,0,2,0,0,0,0,2,0,2
Mockito-3,0,0,0,12,0,8,14,6,6,0,1,1,0,0,0,2,0,0
Mockito-30,1,0,0,5,0,3,7,1,3,0,2,1,0,0,0,0,0,0
Mockito-31,0,0,0,3,0,1,8,1,4,0,2,1,0,0,0,0,0,0
Mockito-32,1,0,0,4,0,1,7,1,4,0,1,1,0,0,0,2,0,0
Mockito-35,0,0,6,15,0,4,10,5,5,0,0,0,0,0,0,4,0,1
Mockito-36,0,0,0,1,1,0,5,1,3,0,1,0,0,0,0,1,0,0
Mockito-4,0,0,4,17,0,7,10,4,5,0,1,0,0,0,0,13,0,0
Mockito-6,3,0,0,9,0,22,15,6,7,0,1,1,0,0,0,0,0,6
Mockito-9,1,0,0,6,0,1,5,1,3,0,1,0,0,0,0,3,0,0
Time-1,0,0,0,30,0,34,18,7,8,0,1,2,0,0,0,3,0,0
Time-10,0,0,0,6,0,2,4,1,2,0,1,0,0,0,0,0,0,0
Time-12,0,0,0,5,0,4,6,1,2,0,2,1,0,0,0,0,0,0
Time-13,0,0,0,9,0,4,8,1,4,0,2,1,0,0,0,1,0,0
Time-2,0,2,2,8,0,6,10,4,4,0,1,1,0,0,0,0,0,0
Time-23,2,0,0,43,0,22,47,22,2,0,23,0,0,0,0,0,0,0
Time-26,1,0,0,6,0,1,5,2,1,0,2,0,0,0,0,0,0,0
Time-3,0,0,0,13,0,9,11,4,1,0,6,0,0,0,0,0,0,0
Time-6,0,0,0,25,0,38,30,13,1,0,15,1,0,0,0,0,0,0
Time-9,0,0,0,9,0,4,10,1,1,0,6,2,0,0,0,0,0,0
