bug,edit,exit_plan_mode,glob,list_directory,read_file,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other,search_file_content,task,todo_write,web_fetch,write_file
Math_22,9,0,2,0,14,18,3,3,0,3,2,0,0,7,0,0,0,0,4
Math_23,3,0,0,0,4,9,2,4,0,2,0,0,0,1,2,0,0,0,0
Math_24,7,0,2,0,17,36,5,6,0,2,0,0,7,16,1,0,1,0,3
Math_26,7,0,1,0,4,24,0,0,0,1,0,0,0,23,2,0,2,0,5
Math_28,4,0,3,0,11,15,0,0,0,2,0,0,0,13,0,0,0,0,2
Math_29,1,0,1,0,7,8,0,3,0,3,0,0,0,2,1,0,0,0,1
Math_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_35,2,0,1,0,4,7,1,6,0,0,0,0,0,0,0,0,0,0,0
Math_36,4,0,0,0,16,25,3,6,0,1,0,0,1,14,5,0,0,0,4
Math_37,0,0,1,0,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Math_38,8,0,0,0,14,18,0,0,0,2,0,0,0,16,2,0,1,0,0
Math_4,4,0,2,0,11,24,3,8,0,1,0,3,0,9,0,0,1,0,3
Math_44,9,0,2,0,10,17,0,0,0,4,0,0,0,13,0,0,5,0,1
Math_46,4,0,0,0,12,9,1,4,0,2,0,0,0,2,8,0,0,0,0
Math_47,2,0,0,0,8,11,0,0,0,0,0,0,0,11,7,0,1,0,0
Math_49,1,0,0,0,5,7,1,3,0,1,0,0,1,1,3,0,0,0,1
Math_52,1,0,2,0,4,7,1,4,0,1,0,0,0,1,0,0,1,0,0
Math_54,4,0,2,0,7,18,3,8,0,4,0,0,0,3,0,0,0,0,3
Math_55,6,0,2,0,8,18,0,0,0,3,0,0,0,15,2,0,0,0,0
Math_6,11,0,0,0,17,25,0,0,0,0,0,0,0,25,2,0,0,0,4
Math_61,5,2,1,0,12,14,4,2,0,1,6,1,0,0,5,0,2,0,0
Math_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_65,1,0,0,0,6,5,1,3,0,1,0,0,0,0,1,0,0,0,0
Math_66,13,0,4,0,31,38,3,8,0,3,0,0,1,23,6,3,1,0,2
Math_68,3,0,2,0,5,17,3,9,0,2,3,0,0,0,2,0,0,0,0
Math_7,2,0,1,0,10,13,2,5,0,3,2,1,0,0,3,0,1,0,0
Math_71,4,0,6,0,14,6,0,0,0,1,0,0,0,5,1,0,1,0,1
Math_72,3,0,0,0,3,11,0,0,0,1,0,0,0,10,2,0,0,0,1
Math_76,4,0,4,0,9,22,5,11,0,5,1,0,0,0,0,0,0,0,0
Math_77,5,0,0,0,16,5,0,0,0,2,0,0,0,3,4,0,0,0,0
Math_78,2,0,1,0,4,8,1,3,0,1,3,0,0,0,1,0,0,0,1
Math_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_83,4,0,0,0,12,30,0,5,0,2,0,0,0,23,3,0,0,0,2
Math_84,1,0,0,0,5,7,1,4,0,1,0,1,0,0,2,0,1,0,0
Math_86,1,0,1,0,4,11,1,7,0,1,0,1,0,1,1,0,1,0,1
Math_90,6,1,2,0,5,7,0,0,0,2,0,0,0,5,0,0,2,0,0
Math_92,10,0,2,0,10,19,5,6,0,3,0,0,0,5,3,0,3,0,0
Math_93,4,0,3,0,8,9,0,0,0,1,0,0,0,8,0,0,4,0,2
Math_98,4,1,3,0,9,33,0,0,0,2,0,0,0,31,1,0,1,0,3
Math_99,7,0,2,2,13,25,0,0,0,2,0,0,0,23,2,0,0,0,6
Mockito_10,4,0,0,0,9,18,0,2,0,1,0,0,0,15,5,0,0,0,1
Mockito_14,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mockito_15,4,0,0,0,15,11,2,7,0,2,0,0,0,0,3,0,1,0,2
Mockito_16,0,0,0,2,4,8,0,0,0,1,0,3,0,4,1,0,0,0,0
Mockito_17,7,0,5,0,12,9,0,2,0,1,0,0,0,6,2,0,0,0,2
Mockito_19,4,0,3,1,19,10,0,0,0,3,0,0,0,7,4,0,0,0,2
Mockito_2,11,0,0,1,17,11,0,0,0,2,0,0,0,9,9,0,0,0,0
Mockito_20,12,0,2,0,16,16,0,0,0,2,0,0,0,14,7,0,4,0,0
Mockito_21,3,0,0,0,9,11,0,0,0,2,0,0,0,9,3,0,0,0,0
Mockito_23,7,0,1,4,15,20,0,0,0,1,0,0,0,19,9,0,0,0,1
Mockito_25,7,0,0,11,10,19,0,0,0,1,0,0,0,18,1,0,0,0,1
Mockito_3,3,0,4,0,15,11,2,5,0,4,0,0,0,0,2,0,0,0,0
Mockito_30,10,0,5,0,12,18,0,0,0,3,0,0,0,15,2,0,0,0,0
Mockito_31,0,0,5,0,7,2,0,0,0,2,0,0,0,0,3,0,0,0,0
Mockito_32,3,0,1,0,14,10,3,4,0,3,0,0,0,0,2,0,0,0,0
Mockito_35,5,0,6,1,12,17,0,1,0,1,0,0,1,14,0,0,0,0,4
Mockito_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mockito_4,2,0,5,0,12,7,1,3,0,3,0,0,0,0,4,0,0,0,0
Mockito_6,14,0,2,0,21,49,5,13,0,2,2,0,2,25,2,0,5,0,4
Mockito_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time_1,1,0,0,10,11,8,0,0,0,1,0,0,0,7,3,0,0,0,3
Time_10,4,0,2,0,10,19,0,0,0,2,0,0,0,17,5,0,2,0,0
Time_12,5,0,0,1,11,7,0,0,0,2,0,0,0,5,4,0,0,0,1
Time_13,4,0,1,1,16,11,0,0,0,2,0,0,0,9,3,0,2,0,1
Time_2,2,0,0,0,13,29,3,11,0,1,6,3,1,4,6,0,0,0,3
Time_23,4,0,0,0,11,21,0,0,0,2,0,0,0,19,3,0,1,0,0
Time_26,7,0,1,0,12,18,0,4,0,3,0,0,0,11,9,0,2,0,2
Time_3,13,0,0,11,11,15,0,0,0,3,0,0,0,12,2,0,1,0,1
Time_6,6,0,3,0,15,17,2,7,0,1,0,0,1,6,5,0,1,0,3
Time_9,2,0,0,0,10,7,0,0,0,1,0,0,0,6,3,0,0,0,0
