bug,Bash,Bash_defects4j_compile,Bash_defects4j_test,Bash_defects4j_other,Bash_test_scripts,Bash_git_all,Bash_build_and_execution,Bash_file_operations,Bash_other,Edit,Glob,Grep,Read,TodoWrite,WebFetch,Write
mockito_9,25,2,9,0,1,5,3,3,2,2,3,0,6,7,0,0
time_1,28,3,7,0,1,2,1,2,12,4,2,0,5,7,0,6
time_10,13,1,5,0,1,3,0,1,2,2,1,4,5,5,0,0
time_12,10,2,3,1,1,0,0,1,2,4,3,1,4,7,0,0
time_13,15,5,4,0,1,0,1,0,4,14,4,1,8,5,0,1
time_2,29,5,10,0,1,0,1,3,9,4,3,1,7,7,0,1
time_23,30,2,8,0,1,4,2,4,9,4,1,3,7,8,0,1
time_26,10,1,4,0,1,0,0,2,2,3,3,6,7,5,0,0
time_3,16,2,5,0,1,0,0,2,6,6,3,0,4,5,0,1
time_6,25,3,10,0,1,3,0,4,4,8,0,5,8,6,0,1
time_9,11,1,4,0,1,1,0,2,2,3,3,2,4,6,0,0
